"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 19:24:28 GMT 2024","Mon May 27 19:24:37 GMT 2024","8734","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","wrongPassTest","wrongPassTest()",""
"passed","Mon May 27 19:24:37 GMT 2024","Mon May 27 19:24:46 GMT 2024","8610","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","happyPathTest","happyPathTest()",""
"passed","Mon May 27 19:23:43 GMT 2024","Mon May 27 19:24:28 GMT 2024","45494","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","blankLoginAndPass","blankLoginAndPass()",""
