"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 19:11:05 GMT 2024","Mon May 27 19:11:14 GMT 2024","8664","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","wrongPassTest","wrongPassTest()",""
"passed","Mon May 27 19:11:14 GMT 2024","Mon May 27 19:11:22 GMT 2024","8707","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","happyPathTest","happyPathTest()",""
"passed","Mon May 27 19:10:20 GMT 2024","Mon May 27 19:11:05 GMT 2024","45042","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","","ru.inno.selenium.pageobject.sampleapp.SampleAppTest","blankLoginAndPass","blankLoginAndPass()",""
